pi_name,center,institution,query,pubmed_hits_last_20_years,overlap_with_program_or_hpmi,nonoverlap_hits_added_to_backlog
Adolfo Garcia-Sastre,SYBIL,Icahn School of Medicine at Mount Sinai,"(""Garcia-Sastre A""[Author] OR ""Garcia-Sastre Adolfo""[Author] OR ""Adolfo Garcia-Sastre""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",768,22,746
Sumit Chanda,SYBIL,Icahn School of Medicine at Mount Sinai,"(""Chanda S""[Author] OR ""Chanda Sumit""[Author] OR ""Sumit Chanda""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",270,1,269
Michael Schotsaert,SYBIL,Icahn School of Medicine at Mount Sinai,"(""Schotsaert M""[Author] OR ""Schotsaert Michael""[Author] OR ""Michael Schotsaert""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",153,4,149
Rafael Medina,SYBIL,Icahn School of Medicine at Mount Sinai,"(""Medina R""[Author] OR ""Medina Rafael""[Author] OR ""Rafael Medina""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",281,0,281
Richard Wunderink,SCRIPT,Northwestern University,"(""Wunderink R""[Author] OR ""Wunderink Richard""[Author] OR ""Richard Wunderink""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",32,6,26
Alan Hauser,SCRIPT,Northwestern University,"(""Hauser A""[Author] OR ""Hauser Alan""[Author] OR ""Alan Hauser""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",274,1,273
Kristian Andersen,CViSB,Scripps Research,"(""Andersen K""[Author] OR ""Andersen Kristian""[Author] OR ""Kristian Andersen""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",479,2,477
Robert Garry,CViSB,Scripps Research,"(""Garry R""[Author] OR ""Garry Robert""[Author] OR ""Robert Garry""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",40,0,40
Ryan McNamara,CViSB,Scripps Research,"(""McNamara R""[Author] OR ""McNamara Ryan""[Author] OR ""Ryan McNamara""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",175,1,174
Donald S Grant,CViSB,Scripps Research,"(""Grant DS""[Author] OR ""Grant Donald""[Author] OR ""Donald S Grant""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",105,19,86
Michael Yeaman,UCLA-Persistent-BSI,UCLA,"(""Yeaman MR""[Author] OR ""Yeaman Michael""[Author] OR ""Michael Yeaman""[Author]) AND (UCLA[Affiliation] OR ""University of California Los Angeles""[Affiliation]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",136,2,134
Scott Filler,UCLA-Persistent-BSI,UCLA,"(""Filler S""[Author] OR ""Filler Scott""[Author] OR ""Scott Filler""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",36,0,36
Elaine Reed,UCLA-Persistent-BSI,UCLA,"(""Reed Elaine""[Author] OR ""Elaine Reed""[Author]) AND (UCLA[Affiliation] OR ""University of California Los Angeles""[Affiliation]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",16,0,16
Melissa Johnson,UCLA-Persistent-BSI,UCLA,"(""Johnson Melissa""[Author] OR ""Melissa Johnson""[Author]) AND (UCLA[Affiliation] OR ""University of California Los Angeles""[Affiliation]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",11,0,11
Nevan Krogan,HPMI,UCSF,"(""Krogan N""[Author] OR ""Krogan Nevan""[Author] OR ""Nevan Krogan""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",62,5,57
Jeffrey Cox,HPMI,UCSF,"(""Cox JS""[Author] OR ""Cox Jeffrey""[Author] OR ""Jeffrey Cox""[Author]) AND (UCSF[Affiliation] OR ""University of California San Francisco""[Affiliation]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",19,6,13
Michael Glickman,HPMI,UCSF,"(""Glickman M""[Author] OR ""Glickman Michael""[Author] OR ""Michael Glickman""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",90,1,89
Melanie Ott,HPMI,UCSF,"(""Ott M""[Author] OR ""Ott Melanie""[Author] OR ""Melanie Ott""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",701,22,679
Andrej Sali,HPMI,UCSF,"(""Sali A""[Author] OR ""Sali Andrej""[Author] OR ""Andrej Sali""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",432,14,418
Danielle Swaney,HPMI,UCSF,"(""Swaney D""[Author] OR ""Swaney Danielle""[Author] OR ""Danielle Swaney""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",4,0,4
Jennifer Doudna,HPMI,UC Berkeley,"(""Doudna J""[Author] OR ""Doudna Jennifer""[Author] OR ""Jennifer Doudna""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",16,1,15
Trey Ideker,HPMI,UC San Diego,"(""Ideker T""[Author] OR ""Ideker Trey""[Author] OR ""Trey Ideker""[Author]) AND (""2006/01/01""[Date - Publication] : ""3000""[Date - Publication])",305,7,298
