paper_id,title,pmid,doi,year,journal,source_collections,in_current_program,in_hpmi,in_pi_backlog,center,pi_candidates,paper_status
pmid-42573758,Prognostic value of risk factors for ischaemic and major bleeding events in chronic coronary syndrome: a SWEDEHEART registry study.,42573758,10.1007/s00392-026-02995-3,2026,Clinical research in cardiology : official journal of the German Cardiac Society,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42562625,Everolimus for the treatment of neuropsychological deficits in tuberous sclerosis complex: findings from the TRON multicentre randomised controlled trial.,42562625,10.1136/jmg-2026-111529,2026,Journal of medical genetics,pi-backlog,no,no,yes,CViSB,Ryan McNamara,metadata_ingested
pmid-42542480,"Synthesis of Ub-ACA, a Fluorogenic DUB Substrate via ACPL Method.",42542480,10.1007/978-1-0716-5112-4_4,2026,"Methods in molecular biology (Clifton, N.J.)",pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42538903,A de novo designed enzyme for photo-proximity labeling of E3 ligase neighborhoods in live cells.,42538903,10.64898/2026.07.22.739993,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,HPMI,Nevan Krogan,metadata_ingested
pmid-42529183,New-Onset Heart Failure in Hemodialysis Patients: Association With Access Location and Access Flow in a Nationwide Cohort From Sweden.,42529183,10.1016/j.xkme.2026.101427,2026,Kidney medicine,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42521088,Electronic operational classification of hospital-onset bacteremia and fungemia in Epic Cosmos: A retrospective observational study.,42521088,10.1016/j.ajic.2026.07.014,2026,American journal of infection control,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42518274,The CRAC channel inhibitor Auxora Reprograms Pathogenic Alveolar Macrophage-T Cell Circuits in Viral Pneumonia.,42518274,10.1172/JCI209675,2026,The Journal of clinical investigation,current-program,yes,no,no,,,metadata_ingested
pmid-42508404,Advancing cancer detection and treatment using longitudinal routine clinical data.,42508404,10.1016/j.cell.2026.07.009,2026,Cell,pi-backlog,no,no,yes,HPMI,Trey Ideker,metadata_ingested
pmid-42496972,Glucagon-Like Peptide-1 Receptor Agonists and Fragility Fracture Risk in Type 2 Diabetes.,42496972,10.1001/jamanetworkopen.2026.25141,2026,JAMA network open,pi-backlog,no,no,yes,UCLA-Persistent-BSI,Michael Yeaman,metadata_ingested
pmid-42496611,Pre-exposure to phosphate-buffer saline (PBS) renders some Pseudomonas aeruginosa strains susceptible to triclosan on solid medium.,42496611,10.1093/femsle/fnag086,2026,FEMS microbiology letters,current-program,yes,no,no,,,metadata_ingested
pmid-42492562,"Oral step-down, optimal drug, and total duration of antibiotic treatment in African children hospitalised with severe community-acquired pneumonia (PediCAP): a factorial randomised controlled trial.",42492562,10.1016/S0140-6736(26)00879-2,2026,"Lancet (London, England)",pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42489928,Towards implementation of precision medicine biomarkers in early detection and prognostication of prostate cancer.,42489928,10.1007/s10555-026-10357-8,2026,Cancer metastasis reviews,pi-backlog,no,no,yes,HPMI,Andrej Sali,metadata_ingested
pmid-42486102,HIT-MAP: A scalable approach to multimodal mapping of subcellular organization.,42486102,10.1016/j.crmeth.2026.101534,2026,Cell reports methods,pi-backlog,no,no,yes,HPMI,Nevan Krogan;Trey Ideker,metadata_ingested
pmid-42476231,Orchestration of OXPHOS biogenesis through regulation of mitochondrial translation.,42476231,10.1016/j.bbamcr.2026.120194,2026,Biochimica et biophysica acta. Molecular cell research,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42473002,High Q-factor multiband terahertz metasurface biosensor for biomedical refractive index sensing: a numerical study.,42473002,10.1038/s41598-026-62405-6,2026,Scientific reports,pi-backlog,no,no,yes,HPMI,Andrej Sali,metadata_ingested
pmid-42471513,"A Pyrimidine-Based Schiff Base Fluorescent Chemosensor for Selective Detection of Mg²⁺: Synthesis, Real Water Analysis, Antibacterial, DFT and Molecular Docking Study.",42471513,10.1007/s10895-026-04879-1,2026,Journal of fluorescence,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42465941,Post-vaccination expansion of extrafollicular Th10 and regulatory Tfr cells distinguishes strong from weak influenza vaccine responses in older adults.,42465941,10.64898/2026.07.02.26357118,2026,medRxiv : the preprint server for health sciences,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42465423,Single-molecule m(6)A profiling reveals position-dependent mRNA regulation and non-canonical roles for Ythdf2 in early embryogenesis.,42465423,10.64898/2026.07.03.736379,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,SYBIL,Rafael Medina,metadata_ingested
pmid-42462020,Dendritic cells control tertiary lymphoid structure development and maintenance in cancer.,42462020,10.1126/science.ady1678,2026,"Science (New York, N.Y.)",pi-backlog,no,no,yes,SYBIL,Michael Schotsaert,metadata_ingested
pmid-42458163,Minimally Invasive Spinal Interventions for Back and Neck Pain in the Pediatric Population: a Systematic Review.,42458163,10.1007/s11916-026-01521-4,2026,Current pain and headache reports,pi-backlog,no,no,yes,SYBIL,Rafael Medina,metadata_ingested
pmid-42456075,Peripheral Nerve Stimulation of the Phrenic Nerve for Intractable Hiccups: A Novel use Case Series.,42456075,,2026,Pain medicine case reports,pi-backlog,no,no,yes,SYBIL,Rafael Medina,metadata_ingested
pmid-42454370,A potential RNA-RNA distal interaction competing with a functional pseudoknot in the 3'-untranslated region of SARS-like coronaviruses.,42454370,10.1093/nar/gkag701,2026,Nucleic acids research,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42450156,"Epigenetic Functions of SMYD5 and Its Role in Development, Cancer and Other Cellular Processes.",42450156,10.3390/ijms27135884,2026,International journal of molecular sciences,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42442564,A phylogenomic dive into giant genomes: unravelling the evolutionary history of Tmesipteris (Psilotales).,42442564,10.1016/j.ympev.2026.108691,2026,Molecular phylogenetics and evolution,pi-backlog,no,no,yes,SYBIL,Rafael Medina,metadata_ingested
pmid-42435633,An analysis of the readability of Gynecologic Cancer patient education materials.,42435633,10.1016/j.ygyno.2026.07.002,2026,Gynecologic oncology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42432271,Implementation of a prospective neurosurgical complication registry in routine clinical practice.,42432271,10.1007/s00701-026-06965-6,2026,Acta neurochirurgica,pi-backlog,no,no,yes,SCRIPT,Alan Hauser,metadata_ingested
pmid-42429782,Predictive accuracy of population meropenem models in critically ill pneumonia patients.,42429782,10.1128/aac.00458-26,2026,Antimicrobial agents and chemotherapy,current-program,yes,no,no,,,metadata_ingested
pmid-42420916,Recurrence-free survival is prolonged in high-grade serous ovarian cancer with high PD-L1 expression.,42420916,10.1186/s12885-026-16406-3,2026,BMC cancer,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42416259,COVID-19 disrupted patterns of cause-specific mortality in Switzerland.,42416259,10.3389/ijph.2026.1609856,2026,International journal of public health,pi-backlog,no,no,yes,SCRIPT,Alan Hauser,metadata_ingested
pmid-42409264,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,42409264,10.1016/j.jbc.2026.113316,2026,The Journal of biological chemistry,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42401593,Muscle macrophage regenerative response after squalene-adjuvanted influenza vaccination is associated with type II-skewed response and is reduced with age.,42401593,10.1038/s41541-026-01436-6,2026,NPJ vaccines,pi-backlog,no,no,yes,SYBIL,Michael Schotsaert,metadata_ingested
pmid-42400144,Danish validation of the Alcohol Use Disorder Identification Test (AUDIT).,42400144,10.1177/14034948261457731,2026,Scandinavian journal of public health,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42393236,Longitudinal analysis of drift in the circulating human antibody repertoire over four years.,42393236,10.1038/s41598-026-60159-9,2026,Scientific reports,current-program,yes,no,no,,,metadata_ingested
pmid-42386990,A genome-scale CRISPRi perturbation atlas of human induced pluripotent stem cells.,42386990,10.1038/s41587-026-03199-w,2026,Nature biotechnology,pi-backlog,no,no,yes,HPMI,Nevan Krogan;Trey Ideker,metadata_ingested
pmid-42386782,Mapping SARS-CoV-2 immunity after an XBB.1.5 booster by antigenic cartography of merged human and hamster sera.,42386782,10.1038/s41541-026-01516-7,2026,NPJ vaccines,pi-backlog,no,no,yes,SYBIL,Michael Schotsaert,metadata_ingested
pmid-42384743,Artificial Intelligence for Discovery in Life Sciences.,42384743,10.1021/acs.bioconjchem.6c00230,2026,Bioconjugate chemistry,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42378814,Phase 1 trial of intranasal NDV-HXP-S in previously vaccinated adults.,42378814,10.1016/j.vaccine.2026.128870,2026,Vaccine,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre,metadata_ingested
pmid-42378517,How vaccine research took me on an international journey.,42378517,10.1080/21645515.2026.2684159,2026,Human vaccines & immunotherapeutics,pi-backlog,no,no,yes,SYBIL,Michael Schotsaert,metadata_ingested
pmid-42377255,Lineage dynamics and risk factors underlying serotype 4 invasive pneumococcal disease in Spain.,42377255,10.1093/infdis/jiag326,2026,The Journal of infectious diseases,pi-backlog,no,no,yes,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,metadata_ingested
pmid-42367836,"Ubiquitin Chloromethylketone Probe Enables Activity-based, Selective Protein Profiling of E2 Ubiquitin Conjugating Enzymes.",42367836,10.64898/2026.06.16.732757,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42359563,Watch Me Play!: results of a feasibility study of a remotely delivered intervention to promote mental health resilience for children (age 0-8 years) across UK early years and children's services.,42359563,10.1192/bjo.2026.12028,2026,BJPsych open,pi-backlog,no,no,yes,CViSB,Ryan McNamara,metadata_ingested
pmid-42335442,Prognostic Biomarker Signature of Relapse in Neuromyelitis Optica Spectrum Disorders in the CIRCLES Observational Study.,42335442,10.1212/NXI.0000000000200611,2026,Neurology(R) neuroimmunology & neuroinflammation,pi-backlog,no,no,yes,UCLA-Persistent-BSI,Michael Yeaman,metadata_ingested
pmid-42327335,Secreted ORF8 reprograms macrophages to enhance SARS-CoV-2 infection of lung epithelial cells.,42327335,10.64898/2026.06.10.731427,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42309287,Impaired glycoRNA biogenesis in metabolic-dysfunction associated steatotic liver disease.,42309287,10.1016/j.jhep.2026.04.034,2026,Journal of hepatology,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42286248,Harmonization and integration of pharmacogenomics screens.,42286248,10.1093/bioinformatics/btag382,2026,"Bioinformatics (Oxford, England)",pi-backlog,no,no,yes,HPMI,Trey Ideker,metadata_ingested
pmid-42282583,Thousandfold Expansion Microscopy.,42282583,10.64898/2026.05.31.729018,2026,bioRxiv : the preprint server for biology,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42282014,A proteogenomic RNA processing mechanism drives sex differences in meningioma.,42282014,10.21203/rs.3.rs-9675139/v1,2026,Research square,pi-backlog,no,no,yes,HPMI,Nevan Krogan;Danielle Swaney,metadata_ingested
pmid-42277855,Stigmatism among physicians and nurses towards patients with alcohol use disorder: a systematic review.,42277855,10.1186/s12913-026-14882-8,2026,BMC health services research,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42274369,"Price Burden, Psychological Wear-Out and Quit Behaviour: A Structural Analysis of Cigarette Consumption and Cessation Among Smokers in India.",42274369,10.1080/10826084.2026.2685625,2026,Substance use & misuse,pi-backlog,no,no,yes,SYBIL,Sumit Chanda,metadata_ingested
pmid-42273960,Sodium Bicarbonate for In-Hospital Cardiac Arrest: A Randomized Clinical Trial.,42273960,10.1001/jama.2026.10628,2026,JAMA,pi-backlog,no,no,yes,CViSB,Kristian Andersen,metadata_ingested
pmid-42269836,In vivo base editing alleviates hepatic iron accumulation and fibrosis in models of HFE-related hereditary hemochromatosis.,42269836,10.1016/j.jhep.2026.05.022,2026,Journal of hepatology,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
pmid-42258748,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,42258748,10.1172/jci.insight.203056,2026,JCI insight,current-program,yes,no,no,,,metadata_ingested
pmid-42253816,Cardiopulmonary resuscitation in donation after brain death donors aged ≥65 years: impact on outcomes after kidney transplantation - a multi-center study.,42253816,10.3389/ti.2026.16028,2026,Transplant international : official journal of the European Society for Organ Transplantation,pi-backlog,no,no,yes,HPMI,Melanie Ott,metadata_ingested
