paper_id,pmid,doi,title,status,match_method,match_score,downloads_source_file
pmid-42409264,42409264,10.1016/j.jbc.2026.113316,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,imported,doi,1.000,1-s2.0-S0021925826021885-main.pdf
pmid-42200562,42200562,10.1177/15473287261450907,Simplified Derivation of Stable Early Passage Murine Embryonic and Parthenogenetic Stem Cells.,imported,title_similarity,1.000,pery-et-al-2026-simplified-derivation-of-stable-early-passage-murine-embryonic-and-parthenogenetic-stem-cells.pdf
pmid-41917196,41917196,10.1038/s41551-026-01642-6,Programmable kinetic barcoding for multiplexed RNA detection with Cas13a.,imported,doi,1.000,s41551-026-01642-6.pdf
pmid-41554267,41554267,10.1016/S2468-1253(25)00293-6,"ALG-000184 (pevifoscorvir sodium) monotherapy in participants with chronic HBV infection: a phase 1, multicentre, randomised, dose escalation trial.",imported,doi,1.000,1-s2.0-S2468125325002936-main.pdf
pmid-41384839,41384839,10.1093/jimmun/vkaf298,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,imported,title_similarity,1.000,vkaf298.pdf
pmid-40037847,40037847,10.21873/anticanres.17479,Cryptic Rearrangement of the KMT2A Gene in a B-cell Acute Lymphoblastic Leukemia.,imported,doi,1.000,921.full.pdf
pmid-40035960,40035960,10.1007/s11033-025-10378-6,A detailed comparative in silico and functional analysis of ccd1 gene in maize gives new insights of its expression and functions.,imported,doi,1.000,s11033-025-10378-6.pdf
pmid-39978373,39978373,10.1016/S1473-3099(25)00068-4,Europe needs a sustainably funded influenza research and response network.,imported,doi,1.000,1-s2.0-S1473309925000684-main.pdf
pmid-41091914,41091914,10.1126/scitranslmed.ady2282,An intramuscular prime and mucosal boost vaccine regimen protects against lethal clade 2.3.4.4b H5N1 challenge in cynomolgus macaques.,imported,title_similarity,1.000,scitranslmed.ady2282.pdf
pmid-40632835,40632835,10.1126/scitranslmed.adu7646,Adenovirus and mRNA vaccines as well as mucosal boosting improve protective efficacy against influenza virus challenge in macaques.,imported,title_similarity,1.000,scitranslmed.adu7646.pdf
pmid-39580801,39580801,10.1016/j.celrep.2024.114960,TRIM65 regulates innate immune signaling by enhancing K6-linked ubiquitination of IRF3 and its chromatin recruitment.,imported,doi,1.000,1-s2.0-S2211124724013111-main.pdf
pmid-39468980,39468980,10.52198/25.STI.45.GY1826,What Happens to Endometriosis During the Menstrual Cycle?,unmatched,,,
pmid-39324493,39324493,10.1002/gcc.23272,RUNX1::MIR99AHG Chimera in Acute Myeloid Leukemia.,imported,doi,1.000,Genes Chromosomes   Cancer - 2024 - Andersen - RUNX1  MIR99AHG Chimera in Acute Myeloid Leukemia (1).pdf
pmid-39120141,39120141,10.1002/gcc.23262,Genetic Heterogeneity in Cellular Angiofibromas.,imported,doi,1.000,Genes Chromosomes   Cancer - 2024 - Panagopoulos - Genetic Heterogeneity in Cellular Angiofibromas.pdf
pmid-38537997,38537997,10.21873/anticanres.16935,Acute Lymphoblastic Leukemia With Near-haploid Karyotype and Philadelphia Chromosome.,imported,title_similarity,1.000,1389.full.pdf
pmid-37983398,37983398,10.1097/ACM.0000000000005355,Set Up to Fail? Barriers Impeding Resident Communication Training in Neonatal Intensive Care Units.,unmatched,,,
pmid-34986351,34986351,10.1016/j.celrep.2021.110172,Ebola virus delta peptide is an enterotoxin.,imported,doi,1.000,1-s2.0-S2211124721016727-main.pdf
pmid-34841975,34841975,10.1177/09622802211060518,Combining cox regressions across a heterogeneous distributed research network facing small and zero counts.,imported,doi,1.000,schuemie-et-al-2021-combining-cox-regressions-across-a-heterogeneous-distributed-research-network-facing-small-and-zero.pdf
pmid-34129317,34129317,10.1021/acsinfecdis.1c00017,Screening a Library of FDA-Approved and Bioactive Compounds for Antiviral Activity against SARS-CoV-2.,imported,title_similarity,1.000,id1c00017.pdf
pmid-33417126,33417126,10.1007/s11517-020-02306-6,Biomechanical design prognosis of two extramedullary fixation devices for subtrochanteric femur fracture: a finite element study.,imported,doi,1.000,s11517-020-02306-6.pdf
pmid-33125654,33125654,10.1007/978-1-0716-0892-0_14,Protein Structure Modeling with MODELLER.,imported,title_similarity,1.000,1-s2.0-S0022283606001033-main.pdf
pmid-32822681,32822681,10.1016/j.jbiotec.2020.08.009,A novel SUMOylation site in the influenza a virus NS1 protein identified with a highly sensitive FRET assay.,imported,doi,1.000,1-s2.0-S0168165620302224-main.pdf
pmid-32023470,32023470,10.1016/j.celrep.2020.01.015,OTUB1 Is a Key Regulator of RIG-I-Dependent Immune Signaling and Is Targeted for Proteasomal Degradation by Influenza A NS1.,imported,doi,1.000,1-s2.0-S2211124720300243-main.pdf
pmid-31774362,31774362,10.1177/0954411919890998,A comparative assessment of two designs of hip stem using rule-based simulation of combined osseointegration and remodelling.,imported,doi,1.000,chanda-et-al-2019-a-comparative-assessment-of-two-designs-of-hip-stem-using-rule-based-simulation-of-combined.pdf
pmid-32755751,32755751,10.1016/j.coi.2020.06.003,"Dissecting the antibody-OME: past, present, and future.",imported,doi,1.000,1-s2.0-S0952791520300662-main.pdf
pmid-30293731,30293731,10.1016/j.jvir.2018.05.014,Comparison between Surgical and Endovascular Hemodialysis Arteriovenous Fistula Interventions and Associated Costs.,imported,doi,1.000,1-s2.0-S1051044318312120-main.pdf
pmid-29874595,29874595,10.1016/j.celrep.2018.05.021,Prediction of Adipose Browning Capacity by Systematic Integration of Transcriptional Profiles.,imported,doi,1.000,1-s2.0-S221112471830754X-main.pdf
pmid-29488088,29488088,10.1007/s00384-018-2988-8,The presence of occipital hair in the pilonidal sinus cavity-a triple approach to proof.,unmatched,,,
pmid-28986782,28986782,10.1007/978-1-4939-7231-9_4,Protein Structure Modeling with MODELLER.,imported,title_similarity,1.000,CP in Bioinformatics - 2014 - Webb - Comparative Protein Structure Modeling Using MODELLER.pdf
pmid-28562037,28562037,10.1021/acs.jcim.6b00720,Computational Discovery and Experimental Validation of Inhibitors of the Human Intestinal Transporter OATP2B1.,imported,title_similarity,1.000,ci6b00720.pdf
pmid-28362044,28362044,10.5301/jva.5000723,Comparison of post-creation procedures and costs between surgical and an endovascular approach to arteriovenous fistula creation.,imported,doi,1.000,yang-et-al-2017-comparison-of-post-creation-procedures-and-costs-between-surgical-and-an-endovascular-approach-to.pdf
pmid-28230985,28230985,10.1021/acs.jmedchem.6b01317,Discovery of Competitive and Noncompetitive Ligands of the Organic Cation Transporter 1 (OCT1; SLC22A1).,imported,title_similarity,1.000,jm6b01317.pdf
pmid-28220929,28220929,10.3414/ME16-01-0091,Increasing the Efficiency on Producing Radiology Reports for Breast Cancer Diagnosis by Means of Structured Reports. A Comparative Study.,imported,title_similarity,0.556,American J of Med Genetics Pt B - 2009 - Zavala - Psychiatric syndromes in individuals with chromosome 18 abnormalities.pdf
pmid-27965017,27965017,10.1016/j.dci.2016.12.001,Structure and functionalities of the human c-reactive protein compared to the zebrafish multigene family of c-reactive-like proteins.,imported,doi,1.000,1-s2.0-S0145305X16303329-main.pdf
pmid-27801516,27801516,10.1002/cpps.20,Comparative Protein Structure Modeling Using MODELLER.,imported,title_similarity,0.833,1-s2.0-S0969212606001389-main.pdf
pmid-27120583,27120583,10.1021/acs.jmedchem.5b01933,"Synthesis and Anti-Influenza Activity of Pyridine, Pyridazine, and Pyrimidine C-Nucleosides as Favipiravir (T-705) Analogues.",imported,doi,1.000,jm5b01933.pdf
pmid-26265177,26265177,10.1099/jgv.0.000262,Subcellular trafficking and functional importance of herpes simplex virus type 1 glycoprotein M domains.,imported,title_similarity,0.929,viruses-08-00083.pdf
pmid-25511110,25511110,10.1007/s10534-014-9813-9,A comparative immunological analysis of CoCl2 treated cells with in vitro hypoxic exposure.,imported,title_similarity,0.615,Epilepsia - 2007 - Soranzo - Lack of Support for a Role for RLIP76  RALBP1  in Response to Treatment or Predisposition to.pdf
pmid-25403732,25403732,10.1007/s11103-014-0266-x,Comparative assessments of CRISPR-Cas nucleases' cleavage efficiency in planta.,unmatched,,,
pmid-25007846,25007846,10.1007/82_2014_400,The NS1 protein: a multitasking virulence factor.,imported,title_similarity,0.571,Genes Chromosomes   Cancer - 2024 - Andersen - RUNX1  MIR99AHG Chimera in Acute Myeloid Leukemia.pdf
pmid-25378627,25378627,10.1126/science.1257570,Phylogenomics resolves the timing and pattern of insect evolution.,imported,title_similarity,1.000,science.1257570.pdf
pmid-25201897,25201897,10.1177/1091581814545245,"Tavaborole, a novel boron-containing small molecule for the topical treatment of onychomycosis, is noncarcinogenic in 2-year carcinogenicity studies.",imported,title_similarity,1.000,ciaravino-et-al-2014-tavaborole-a-novel-boron-containing-small-molecule-for-the-topical-treatment-of-onychomycosis-is.pdf
pmid-25199792,25199792,10.1002/0471250953.bi0506s47,Comparative Protein Structure Modeling Using MODELLER.,imported,title_similarity,0.833,gzj005.pdf
pmid-24573470,24573470,10.1007/978-1-4939-0366-5_1,Protein structure modeling with MODELLER.,imported,title_similarity,0.600,1-s2.0-S0005273606001064-main.pdf
pmid-23389801,23389801,10.1039/c3cp44336a,Towards accurate estimates of the spin-state energetics of spin-crossover complexes within density functional theory: a comparative case study of cobalt(II) complexes.,imported,title_similarity,1.000,c3cp44336a.pdf
pmid-22590727,22590727,10.1111/j.1365-294x.2011.05287.x,"A comparative study of ancient sedimentary DNA, pollen and macrofossils from permafrost sediments of northern Siberia reveals long-term vegetational stability.",imported,doi,1.000,Molecular Ecology - 2011 - JØRGENSEN - A comparative study of ancient sedimentary DNA  pollen and macrofossils from.pdf
pmid-22323229,22323229,10.1007/978-1-61779-588-6_15,Macromolecular assembly structures by comparative modeling and electron microscopy.,unmatched,,,
