paper_id,pmid,source_collection,parse_source_type,pdf_path,xml_path,normalized_json_path,parse_status,section_count,body_word_count,parser_warnings
pmid-42496972,42496972,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-42496972.pdf,papers/fulltext/parsed/pmc_xml/PMC13401206.xml,papers/fulltext/parsed/normalized/42496972.json,cached_normalized,14,3482,
pmid-42454370,42454370,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-42454370.pdf,papers/fulltext/parsed/pmc_xml/PMC13369322.xml,papers/fulltext/parsed/normalized/42454370.json,cached_normalized,16,5226,
pmid-42409264,42409264,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-42409264.pdf,,papers/fulltext/parsed/normalized/42409264.json,cached_normalized,22,7526,Using canonical paper title over GROBID TEI title.
pmid-42244653,42244653,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-42244653.pdf,papers/fulltext/parsed/pmc_xml/PMC13232272.xml,papers/fulltext/parsed/normalized/42244653.json,cached_normalized,0,0,PMC XML body missing.
pmid-42200562,42200562,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-42200562.pdf,,papers/fulltext/parsed/normalized/42200562.json,cached_normalized,16,3715,Using canonical paper title over GROBID TEI title.
pmid-42150007,42150007,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-42150007.pdf,papers/fulltext/parsed/pmc_xml/PMC13224092.xml,papers/fulltext/parsed/normalized/42150007.json,cached_normalized,35,10668,
pmid-42067193,42067193,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-42067193.pdf,papers/fulltext/parsed/pmc_xml/PMC13387393.xml,papers/fulltext/parsed/normalized/42067193.json,cached_normalized,21,6002,
pmid-42013838,42013838,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-42013838.pdf,papers/fulltext/parsed/pmc_xml/PMC13105272.xml,papers/fulltext/parsed/normalized/42013838.json,cached_normalized,38,15298,
pmid-41917196,41917196,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-41917196.pdf,,papers/fulltext/parsed/normalized/41917196.json,cached_normalized,25,8519,Using canonical paper title over GROBID TEI title.
pmid-41757169,41757169,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-41757169.pdf,papers/fulltext/parsed/pmc_xml/PMC12934865.xml,papers/fulltext/parsed/normalized/41757169.json,cached_normalized,26,7858,
pmid-41654489,41654489,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-41654489.pdf,papers/fulltext/parsed/pmc_xml/PMC12923905.xml,papers/fulltext/parsed/normalized/41654489.json,cached_normalized,24,8551,
pmid-41554267,41554267,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-41554267.pdf,,papers/fulltext/parsed/normalized/41554267.json,cached_normalized,15,8133,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-41548573,41548573,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-41548573.pdf,papers/fulltext/parsed/pmc_xml/PMC12812440.xml,papers/fulltext/parsed/normalized/41548573.json,cached_normalized,19,3286,
pmid-41459948,41459948,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-41459948.pdf,papers/fulltext/parsed/pmc_xml/PMC12911902.xml,papers/fulltext/parsed/normalized/41459948.json,cached_normalized,17,6825,
pmid-42149727,42149727,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-42149727.pdf,papers/fulltext/parsed/pmc_xml/PMC13233066.xml,papers/fulltext/parsed/normalized/42149727.json,cached_normalized,17,7515,
pmid-42134328,42134328,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-42134328.pdf,papers/fulltext/parsed/pmc_xml/PMC13286030.xml,papers/fulltext/parsed/normalized/42134328.json,cached_normalized,47,14226,
pmid-41688792,41688792,hpmi,pmc_xml,papers/fulltext/inventory/oa/pmid-41688792.pdf,papers/fulltext/parsed/pmc_xml/PMC13043812.xml,papers/fulltext/parsed/normalized/41688792.json,cached_normalized,26,11203,
