paper_id,pmid,year,title,abstract_excerpt,collection_route,center,pi_candidates,pathogens,viruses,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,review_status,notes
pmid-42149727,42149727,2026,Cas9(+) conditionally immortalized neutrophil progenitors as a tool for genome-wide CRISPR screening for neutrophil differentiation and function.,"Neutrophils are short-lived cells of the innate immune system that play numerous roles in defense against infection, regulation of immune responses, tissue damage and repair, autoimmunity, and other non-communicable diseases. Understanding neutrophil function at a mechanistic...",hpmi_grant_query,HPMI,,,,crispr_screen;genome_editing,data_or_analysis,candidate,relevant host-pathogen/pathway terms matched: crispr,high,recent HPMI paper with relevant terms: crispr screen,pending,
pmid-42134328,42134328,2026,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,"Coronaviruses, including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), can cause severe disease in humans, whereas reservoir hosts such as horseshoe bats remain asymptomatic. To investigate how host-specific protein-protein interactions (PPIs) influence infecti...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov;coronavirus;influenza,protein_interaction_mapping;proteomics,primary_research,high,explicit cross-virus/shared-host language: comparative,high,"recent HPMI paper with relevant terms: virus, sars, cov",pending,
pmid-41700894,41700894,2026,Harnessing evolution: leveraging bacterial isoprenoid pathway diversity toward improved bioengineering strategies.,"Isoprenoids play vital roles in all domains of life, from beta-carotene in bacteria to heme in humans. Two distinct metabolic pathways have evolved to synthesize the critical precursor of all mature isoprenoids: the mevalonate (MEV) and the methylerythritol phosphate (MEP) pat...",hpmi_grant_query,HPMI,,,,,primary_research,candidate,relevant host-pathogen/pathway terms matched: pathway,medium,recent HPMI paper but no strong viral/pathogen keywords matched,pending,
pmid-41688792,41688792,2026,Membrane-associated effluxosomes coordinate multi-metal resistance in Mycobacterium tuberculosis.,"Bacterial pathogens must withstand metal-induced stress during infection, yet the mechanisms by which they sense and respond to toxic metal ions remain incompletely understood. Here, we uncover a previously unrecognized mechanism in Mycobacterium tuberculosis, the causative ag...",hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,influenza,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: interaction, tuberculosis, mycobacterium",high,"recent HPMI paper with relevant terms: tuberculosis, mycobacterium",pending,
pmid-41676649,41676649,2026,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,"The open reading frame 8 (ORF8), an accessory protein of SARS-CoV-2, is prone to deletions and mutations across different viral variants, which was first described in several Singapore variants. The reason why viral evolution favors loss or inactivation of ORF8 is not fully un...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral",high,"recent HPMI paper with relevant terms: virus, viral, sars, cov",pending,
pmid-41648602,41648602,2026,Amplified genome editing by in vivo editor production.,"Genome editing enzymes have vast therapeutic potential. However, achieving sufficient delivery in vivo remains a major challenge, because editing machinery is confined to the subset of transfectable cells in a tissue. Here, we tested the possibility that genome editing could b...",hpmi_grant_query,HPMI,,,,genome_editing,primary_research,unknown,no explicit cross-virus or strong host-mechanism terms matched,medium,recent HPMI paper but no strong viral/pathogen keywords matched,pending,
pmid-41555498,41555498,2026,textToKnowledgeGraph: generation of molecular interaction knowledge graphs using large language models for exploration in Cytoscape.,"MOTIVATION: Knowledge graphs (KGs) are powerful tools for structuring and analyzing biological information due to their ability to represent data and improve queries across heterogeneous datasets. However, constructing KGs from unstructured literature remains challenging due t...",hpmi_grant_query,HPMI,,,,structural_biology,primary_research,candidate,relevant host-pathogen/pathway terms matched: interaction,medium,recent HPMI paper but no strong viral/pathogen keywords matched,pending,
pmid-41231971,41231971,2026,Recurrent acquisition of nuclease-protease pairs in antiviral immunity.,"Antiviral immune systems diversify by integrating new genes into existing pathways, creating new mechanisms of viral resistance. We identified genes encoding a predicted nuclease paired with a trypsin-like protease repeatedly acquired by multiple, otherwise unrelated antiviral...",hpmi_grant_query,HPMI,,,,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: viral, pathway",high,recent HPMI paper with relevant terms: viral,pending,
pmid-41392175,41392175,2025,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,"The global circulation of SARS-CoV-2 in human populations has driven the emergence of Omicron subvariants, which have become highly diversified through recombination. In late 2024, SARS-CoV-2 Omicron XEC variant emerged from the recombination of two JN.1 progeny, KS.1.1 and KP...",hpmi_grant_query,HPMI,,,sars-cov-2;sars-cov,,primary_research,candidate,relevant host-pathogen/pathway terms matched: viral,high,"recent HPMI paper with relevant terms: viral, sars, cov",pending,
pmid-41256720,41256720,2025,Genome-wide screen in Mycobacterium tuberculosis infected macrophages reveals innate regulation of antibacterial mediators by IRF2.,"Controlling Mycobacterium tuberculosis (Mtb) infection requires a precisely balanced host inflammatory response. Too little inflammation leads to uncontrolled bacterial growth but exacerbated inflammation, activated by mediators such as TNF and type I IFN, inhibits effective a...",hpmi_grant_query,HPMI,,mycobacterium_tuberculosis,influenza,crispr_screen,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: crispr, tuberculosis, mycobacterium",high,"recent HPMI paper with relevant terms: tuberculosis, mycobacterium",pending,
