paper_id,title,pmid,doi,matched_pis,matched_centers,collection_route,year,paper_status,abstract_length,dataset_scan_status,resource_scan_status
pmid-42573758,Prognostic value of risk factors for ischaemic and major bleeding events in chronic coronary syndrome: a SWEDEHEART registry study.,42573758,10.1007/s00392-026-02995-3,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1811,pending,pending
pmid-42562625,Everolimus for the treatment of neuropsychological deficits in tuberous sclerosis complex: findings from the TRON multicentre randomised controlled trial.,42562625,10.1136/jmg-2026-111529,Ryan McNamara,CViSB,pi_author_backlog,2026,metadata_ingested,1771,pending,pending
pmid-42542480,"Synthesis of Ub-ACA, a Fluorogenic DUB Substrate via ACPL Method.",42542480,10.1007/978-1-0716-5112-4_4,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,657,pending,pending
pmid-42538903,A de novo designed enzyme for photo-proximity labeling of E3 ligase neighborhoods in live cells.,42538903,10.64898/2026.07.22.739993,Nevan Krogan,HPMI,pi_author_backlog,2026,metadata_ingested,1588,pending,pending
pmid-42529183,New-Onset Heart Failure in Hemodialysis Patients: Association With Access Location and Access Flow in a Nationwide Cohort From Sweden.,42529183,10.1016/j.xkme.2026.101427,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,2025,pending,pending
pmid-42521088,Electronic operational classification of hospital-onset bacteremia and fungemia in Epic Cosmos: A retrospective observational study.,42521088,10.1016/j.ajic.2026.07.014,Kristian Andersen,CViSB,pi_author_backlog,2026,metadata_ingested,1523,pending,pending
pmid-42508404,Advancing cancer detection and treatment using longitudinal routine clinical data.,42508404,10.1016/j.cell.2026.07.009,Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1248,pending,pending
pmid-42496972,Glucagon-Like Peptide-1 Receptor Agonists and Fragility Fracture Risk in Type 2 Diabetes.,42496972,10.1001/jamanetworkopen.2026.25141,Michael Yeaman,UCLA-Persistent-BSI,pi_author_backlog,2026,metadata_ingested,2655,pending,pending
pmid-42492562,"Oral step-down, optimal drug, and total duration of antibiotic treatment in African children hospitalised with severe community-acquired pneumonia (PediCAP): a factorial randomised controlled trial.",42492562,10.1016/S0140-6736(26)00879-2,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,3695,pending,pending
pmid-42489928,Towards implementation of precision medicine biomarkers in early detection and prognostication of prostate cancer.,42489928,10.1007/s10555-026-10357-8,Andrej Sali,HPMI,pi_author_backlog,2026,metadata_ingested,1012,pending,pending
pmid-42486102,HIT-MAP: A scalable approach to multimodal mapping of subcellular organization.,42486102,10.1016/j.crmeth.2026.101534,Nevan Krogan;Trey Ideker,HPMI,pi_author_backlog,2026,metadata_ingested,1166,pending,pending
pmid-42476231,Orchestration of OXPHOS biogenesis through regulation of mitochondrial translation.,42476231,10.1016/j.bbamcr.2026.120194,Melanie Ott,HPMI,pi_author_backlog,2026,metadata_ingested,823,pending,pending
pmid-42473002,High Q-factor multiband terahertz metasurface biosensor for biomedical refractive index sensing: a numerical study.,42473002,10.1038/s41598-026-62405-6,Andrej Sali,HPMI,pi_author_backlog,2026,metadata_ingested,1437,pending,pending
pmid-42471513,"A Pyrimidine-Based Schiff Base Fluorescent Chemosensor for Selective Detection of Mg²⁺: Synthesis, Real Water Analysis, Antibacterial, DFT and Molecular Docking Study.",42471513,10.1007/s10895-026-04879-1,Sumit Chanda,SYBIL,pi_author_backlog,2026,metadata_ingested,1663,pending,pending
pmid-42465941,Post-vaccination expansion of extrafollicular Th10 and regulatory Tfr cells distinguishes strong from weak influenza vaccine responses in older adults.,42465941,10.64898/2026.07.02.26357118,Adolfo Garcia-Sastre,SYBIL,pi_author_backlog,2026,metadata_ingested,1505,pending,pending
pmid-42465423,Single-molecule m(6)A profiling reveals position-dependent mRNA regulation and non-canonical roles for Ythdf2 in early embryogenesis.,42465423,10.64898/2026.07.03.736379,Rafael Medina,SYBIL,pi_author_backlog,2026,metadata_ingested,1598,pending,pending
pmid-42462020,Dendritic cells control tertiary lymphoid structure development and maintenance in cancer.,42462020,10.1126/science.ady1678,Michael Schotsaert,SYBIL,pi_author_backlog,2026,metadata_ingested,1082,pending,pending
