resource_id,source_paper_id,resource_type,name,url,notes,status
pmid-42013838-figshare-6f1555be86,pmid-42013838,Figshare,Figshare resource for Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T c,figshare.com/articles/dataset/Tabula_Sapiens_release_1_0/14267219,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-32353859-github-b63dc9016b,pmid-32353859,GitHub,mist,github.com/kroganlab/mist,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-32353859-github-d7fdef76de,pmid-32353859,GitHub,COVID19,github.com/momeara/BioChemPantry/tree/master/vignette/COVID19,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-32511329-github-518da5649e,pmid-32511329,GitHub,COVID19,github.com/momeara/BioChemPantry/vignette/COVID19,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33060197-github-9a71538a9c,pmid-33060197,GitHub,TOGA,github.com/hillerlab/TOGA,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33060197-github-b63dc9016b,pmid-33060197,GitHub,mist,github.com/kroganlab/mist,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33429418-github-92891c3d8a,pmid-33429418,GitHub,FastCAR,github.com/LungCellAtlas/FastCAR,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33429418-github-1d24a8e74c,pmid-33429418,GitHub,2020_Grant,github.com/NUPulmonary/2020_Grant,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33429418-github-48cbb710d3,pmid-33429418,GitHub,k_means_Figure.R,github.com/NUPulmonary/utils/blob/master/R/k_means_Figure.R,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33654293-github-ed3f65f2da,pmid-33654293,GitHub,harmony-pytorch,github.com/lilab-bcb/harmony-pytorch,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33654293-github-1e2e25f09a,pmid-33654293,GitHub,diffxpy,github.com/theislab/diffxpy,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-33654293-github-1497006e4c,pmid-33654293,GitHub,signac,github.com/timoast/signac,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34013269-github-b63dc9016b,pmid-34013269,GitHub,mist,github.com/kroganlab/mist,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34031651-github-b63dc9016b,pmid-34031651,GitHub,mist,github.com/kroganlab/mist,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34171302-github-59583cb2dd,pmid-34171302,GitHub,Gene_Set_Enrichment_Pipeline,github.com/DavidPierreEnard/Gene_Set_Enrichment_Pipeline,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34171302-github-d9935f4d3d,pmid-34171302,GitHub,hapbin,github.com/evotools/hapbin,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34171302-github-d6df79ef8f,pmid-34171302,GitHub,selscan,github.com/szpiech/selscan,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34731594-github-814bca2642,pmid-34731594,GitHub,2021_Koch,github.com/NUPulmonary/2021_Koch,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34937051-github-b058886254,pmid-34937051,GitHub,mg2sc,github.com/julianeweller/mg2sc,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34981043-github-c90c91298a,pmid-34981043,GitHub,Delta-analysis,github.com/COG-UK/Delta-analysis,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34981043-github-f087ea4c31,pmid-34981043,GitHub,beastgenpy,github.com/ViralVerity/beastgenpy,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34981043-github-7619762e1e,pmid-34981043,GitHub,scorpio,github.com/cov-lineages/scorpio,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34981043-github-f23df37f23,pmid-34981043,GitHub,owid-covid-data.csv,github.com/owid/covid-19-data/blob/master/public/data/owid-covid-data.csv,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
pmid-34981043-github-4028d8329f,pmid-34981043,GitHub,Delta-Statistical-analysis-share,github.com/sumalibajaj/Delta-Statistical-analysis-share,Auto-extracted from normalized full text on 2026-08-13T22:06:45.224342+00:00,candidate
